"No","year","month","day","hour","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","RAIN","wd","WSPM","station","pollution_ratio"
154,2013,3,7,9,251,282,182,116,3299,17,10.1,1006.1,-0.7,0,"W",0.6,"Aotizhongxin",0.890070921985816
155,2013,3,7,10,228,255,166,135,3200,17,12.7,1005.5,-1.6,0,"ENE",1.2,"Aotizhongxin",0.894117647058824
156,2013,3,7,11,217,255,169,171,4000,17,16.5,1003.6,-1.6,0,"WSW",1.7,"Aotizhongxin",0.850980392156863
157,2013,3,7,12,255,311,154,201,4000,17,17.1,1001.6,-3.1,0,"SSW",3.7,"Aotizhongxin",0.819935691318328
158,2013,3,7,13,258,283,111,226,3700,17,17.7,1000.2,-3.2,0,"SW",3.1,"Aotizhongxin",0.911660777385159
159,2013,3,7,14,277,284,102,167,2899,39,18.3,998.6,-3.2,0,"SSW",3.6,"Aotizhongxin",0.975352112676056
160,2013,3,7,15,282,326,79,130,2399,61,18.6,997.6,-1.8,0,"SSW",3.3,"Aotizhongxin",0.865030674846626
161,2013,3,7,16,267,310,62,97,1899,80,17.9,997.2,-0.9,0,"SW",1.9,"Aotizhongxin",0.861290322580645
162,2013,3,7,17,216,257,64,86,1600,84,15.4,997.1,-1.7,0,"NNW",1.4,"Aotizhongxin",0.840466926070039
163,2013,3,7,18,201,255,76,125,1899,84,14.4,997.4,-2.5,0,"N",1.9,"Aotizhongxin",0.788235294117647
164,2013,3,7,19,211,287,79,173,2399,10,13.4,997.9,-2.6,0,"NNE",1.5,"Aotizhongxin",0.735191637630662
165,2013,3,7,20,227,298,99,207,3399,84,11.8,997.7,-2.1,0,"NE",1.5,"Aotizhongxin",0.761744966442953
166,2013,3,7,21,282,377,114,213,4000,84,9.2,997.9,-1.3,0,"NNE",1.4,"Aotizhongxin",0.748010610079576
167,2013,3,7,22,363,452,126,210,4000,84,7.5,998.3,-1.2,0,"NE",1.3,"Aotizhongxin",0.803097345132743
168,2013,3,7,23,376,426,128,209,3799,84,6.6,998.4,-0.9,0,"E",0.1,"Aotizhongxin",0.882629107981221
169,2013,3,8,0,344,389,107,195,3799,84,4.1,998.2,-1.3,0,"ESE",0,"Aotizhongxin",0.884318766066838
170,2013,3,8,1,339,370,90,177,4099,84,3.3,998.5,-1.7,0,"N",0.9,"Aotizhongxin",0.916216216216216
171,2013,3,8,2,339,400,9,162,3899,84,2.5,998.2,-1.9,0,"SW",0.8,"Aotizhongxin",0.8475
172,2013,3,8,3,324,373,71,154,NA,84,1.8,997.9,-1.8,0,"N",0,"Aotizhongxin",0.868632707774799
173,2013,3,8,4,322,345,62,53,3299,84,1.3,998.5,-1.8,0,"W",1,"Aotizhongxin",0.933333333333333
174,2013,3,8,5,315,346,47,144,3200,84,1.4,999,-1.5,0,"SW",0.8,"Aotizhongxin",0.910404624277457
175,2013,3,8,6,310,327,45,146,3299,84,1.1,999.7,-1.8,0,"WSW",0.8,"Aotizhongxin",0.948012232415902
176,2013,3,8,7,309,318,44,145,4099,84,5.7,1000.4,0.5,0,"NNE",1,"Aotizhongxin",0.971698113207547
177,2013,3,8,8,310,337,88,137,4900,84,10.9,1000.8,1.4,0,"SE",0.7,"Aotizhongxin",0.919881305637982
178,2013,3,8,9,326,371,144,149,5200,84,16.9,1001.1,-0.4,0,"E",1,"Aotizhongxin",0.878706199460916
179,2013,3,8,10,326,844,125.9496,179.2269,NA,84,19.1,1000.9,-0.4,0,"SSW",1.9,"Aotizhongxin",0.386255924170616
180,2013,3,8,11,219,362,83,160,3100,84,20.5,1000.5,-3.3,0,"SSW",4.4,"Aotizhongxin",0.604972375690608
181,2013,3,8,12,104,194,37,101,1399,84,21.7,999.4,-2.3,0,"S",3,"Aotizhongxin",0.536082474226804
182,2013,3,8,13,121,225,40,96,1300,84,22.5,998.2,-2.3,0,"S",3.3,"Aotizhongxin",0.537777777777778
183,2013,3,8,14,184,348,49,104,1800,84,17.4,998.3,1.4,0,"ESE",4.5,"Aotizhongxin",0.528735632183908
184,2013,3,8,15,330,508,102,139,3600,84,13.9,999.5,1.2,0,"ESE",2.7,"Aotizhongxin",0.649606299212598
185,2013,3,8,16,172,284,84,84,1700,84,11.9,1000.2,0,0,"ESE",2.6,"Aotizhongxin",0.605633802816901
186,2013,3,8,17,114,181,68,68,1100,68,10.3,999.9,-0.5,0,"SE",2.8,"Aotizhongxin",0.629834254143646
187,2013,3,8,18,82,128,55,63,900,68,9.3,1000.6,-0.9,0,"S",1.4,"Aotizhongxin",0.640625
188,2013,3,8,19,84,123,46,73,1100,68,8,1000.5,-0.3,0,"NE",0.8,"Aotizhongxin",0.682926829268293
189,2013,3,8,20,91,104,48,65,1000,68,7.9,1000.4,-1.6,0,"SSW",1.4,"Aotizhongxin",0.875
190,2013,3,8,21,81,87,43,61,1100,68,7.2,1000,-1.5,0,"ENE",1.6,"Aotizhongxin",0.931034482758621
191,2013,3,8,22,90,102,45,68,1399,68,6.3,999,-3.4,0,"E",0.9,"Aotizhongxin",0.882352941176471
192,2013,3,8,23,79,85,53,63,1500,68,5.7,997.7,-3.4,0,"SSW",1,"Aotizhongxin",0.929411764705882
193,2013,3,9,0,49,67,53,70,1600,68,3.6,996.1,-2.6,0,"W",0.6,"Aotizhongxin",0.73134328358209
194,2013,3,9,1,89,91,54,84,1899,68,2.1,994.9,-2.6,0,"W",1.1,"Aotizhongxin",0.978021978021978
195,2013,3,9,2,89,97,44,97,2299,68,1.4,994.1,-3.1,0,"N",0,"Aotizhongxin",0.917525773195876
196,2013,3,9,3,98,125,42,94,2299,68,1.1,993,-3.2,0,"NE",1.4,"Aotizhongxin",0.784
197,2013,3,9,4,97,118,52,97,2399,68,1.8,992,-2.3,0,"E",0,"Aotizhongxin",0.822033898305085
198,2013,3,9,5,102,123,52,93,2500,68,3.2,992,-2.8,0,"NE",1.3,"Aotizhongxin",0.829268292682927
199,2013,3,9,6,110,153,44,83,2600,68,2.8,992.2,-2.5,0,"NE",1,"Aotizhongxin",0.718954248366013
200,2013,3,9,7,108,143,51,85,2100,68,4.6,992.9,-2.1,0,"NE",1.8,"Aotizhongxin",0.755244755244755
201,2013,3,9,8,104,139,70,82,2100,68,8.4,994.1,-1.7,0,"E",2.6,"Aotizhongxin",0.748201438848921
202,2013,3,9,9,113,166,108,86,1899,68,16.3,995.9,-0.4,0,"NNW",3.3,"Aotizhongxin",0.680722891566265
203,2013,3,9,10,145,272,122,86,2200,68,16.7,998.3,-4.6,0,"NNW",7.7,"Aotizhongxin",0.533088235294118
204,2013,3,9,11,69,587,50,21,400,68,14.3,1001.3,-9.1,0,"NNW",7.4,"Aotizhongxin",0.117546848381601
205,2013,3,9,12,78,87,10,10,300,68,12.4,1004.3,-14.4,0,"NW",7.9,"Aotizhongxin",NA
206,2013,3,9,13,49,628,4,7,300,76,10.3,1006.5,-17,0,"NNW",7.2,"Aotizhongxin",0.0780254777070064
207,2013,3,9,14,47,662,3,6,300,81,10.5,1008.1,-16.8,0,"NNW",6.7,"Aotizhongxin",0.0709969788519638
208,2013,3,9,15,28,443,3,8,300,81,10.2,1009.4,-17.1,0,"N",3.9,"Aotizhongxin",0.0632054176072235
209,2013,3,9,16,21,263,3,9,300,81,10.5,1010.8,-17.8,0,"N",4.8,"Aotizhongxin",0.0798479087452472
210,2013,3,9,17,14,251,4,9,300,81,8.6,1013,-18.3,0,"NNE",4.8,"Aotizhongxin",0.0557768924302789
211,2013,3,9,18,17,205,4,10,300,81,7.4,1015.9,-19.3,0,"NNE",4.8,"Aotizhongxin",0.0829268292682927
212,2013,3,9,19,15,107,5,10,400,81,6.4,1018.1,-18.4,0,"N",3.5,"Aotizhongxin",0.14018691588785
213,2013,3,9,20,18,104,4,7,400,82,5.6,1019.7,-18.3,0,"N",4.5,"Aotizhongxin",0.173076923076923
214,2013,3,9,21,12,58,4,8,400,82,4.8,1020.3,-17.6,0,"N",3.3,"Aotizhongxin",0.206896551724138
